numTeams,activityID,poolName,year
23,2,Just For Fun,22/23
28,5,Just For Fun,22/23
16,7,Just For Fun,22/23
43,2,Mixed,22/23
18,3,Mixed,22/23
59,5,Mixed,22/23
70,6,Mixed,22/23
108,7,Mixed,22/23
19,8,Mixed,22/23
91,2,Open,22/23
39,3,Open,22/23
38,4,Open,22/23
119,5,Open,22/23
96,7,Open,22/23
75,20,Open,22/23
39,8,Open,22/23
14,2,W2STGD,22/23
6,4,W2STGD,22/23
7,5,W2STGD,22/23
43,7,W2STGD,22/23
4,8,W2STGD,22/23
11,4,Just For Fun,21/22
29,7,Just For Fun,21/22
4,5,Just For Fun,21/22
24,2,Mixed,21/22
37,5,Mixed,21/22
56,6,Mixed,21/22
89,7,Mixed,21/22
124,2,Open,21/22
18,3,Open,21/22
29,4,Open,21/22
100,5,Open,21/22
91,7,Open,21/22
16,8,Open,21/22
52,20,Open,21/22
16,5,Open,21/22
6,4,Open,21/22
17,2,W2STGN,21/22
11,5,W2STGN,21/22
19,7,W2STGN,21/22
13,2,Just For Fun,19/20
7,3,Just For Fun,19/20
4,5,Just For Fun,19/20
23,7,Just For Fun,19/20
14,20,Just For Fun,19/20
40,2,CoRec,19/20
52,3,CoRec,19/20
50,5,CoRec,19/20
43,6,CoRec,19/20
137,7,CoRec,19/20
16,8,CoRec,19/20
19,20,CoRec,19/20
131,2,Open,19/20
31,3,Open,19/20
44,4,Open,19/20
72,5,Open,19/20
34,7,Open,19/20
30,8,Open,19/20
33,20,Open,19/20
20,2,Women's (W2STGN),19/20
10,5,Women's (W2STGN),19/20
20,7,Women's (W2STGN),19/20
8,20,Women's (W2STGN),19/20
12,2,Just For Fun,18/19
8,3,Just For Fun,18/19
6,5,Just For Fun,18/19
21,7,Just For Fun,18/19
23,20,Just For Fun,18/19
79,2,CoRec,18/19
50,3,CoRec,18/19
49,5,CoRec,18/19
43,6,CoRec,18/19
108,7,CoRec,18/19
22,8,CoRec,18/19
8,20,CoRec,18/19
88,2,Open,18/19
53,3,Open,18/19
48,4,Open,18/19
79,5,Open,18/19
43,7,Open,18/19
29,8,Open,18/19
43,20,Open,18/19
20,2,Women's (W2STGN),18/19
13,5,Women's (W2STGN),18/19
25,7,Women's (W2STGN),18/19
9,20,Women's (W2STGN),18/19
6,4,Open / Men's,17/18
13,2,Just For Fun,17/18
6,3,Just For Fun,17/18
16,5,Just For Fun,17/18
22,7,Just For Fun,17/18
24,20,Just For Fun,17/18
42,2,CoRec,17/18
45,3,CoRec,17/18
39,5,CoRec,17/18
44,6,CoRec,17/18
133,7,CoRec,17/18
22,8,CoRec,17/18
117,2,Open / Men's,17/18
57,3,Open / Men's,17/18
42,4,Open / Men's,17/18
76,5,Open / Men's,17/18
23,7,Open / Men's,17/18
33,8,Open / Men's,17/18
42,20,Open / Men's,17/18
17,2,Women's (W2STGN),17/18
14,5,Women's (W2STGN),17/18
31,7,Women's (W2STGN),17/18
13,20,Women's (W2STGN),17/18
6,4,Open / Men's,16/17
13,2,Just For Fun,16/17
6,3,Just For Fun,16/17
16,5,Just For Fun,16/17
22,7,Just For Fun,16/17
24,20,Just For Fun,16/17
42,2,CoRec,16/17
45,3,CoRec,16/17
39,5,CoRec,16/17
44,6,CoRec,16/17
133,7,CoRec,16/17
22,8,CoRec,16/17
177,2,Open / Men's,16/17
57,3,Open / Men's,16/17
42,4,Open / Men's,16/17
76,5,Open / Men's,16/17
23,7,Open / Men's,16/17
33,8,Open / Men's,16/17
42,20,Open / Men's,16/17
17,2,Women's (W2STGN),16/17
14,5,Women's (W2STGN),16/17
31,7,Women's (W2STGN),16/17
13,20,Women's (W2STGN),16/17
13,2,Just For Fun,15/16
5,3,Just For Fun,15/16
7,5,Just For Fun,15/16
23,7,Just For Fun,15/16
27,20,Just For Fun,15/16
49,2,CoRec,15/16
55,3,CoRec,15/16
32,5,CoRec,15/16
66,6,CoRec,15/16
115,7,CoRec,15/16
18,8,CoRec,15/16
120,2,Men's,15/16
57,3,Men's,15/16
48,4,Men's,15/16
71,5,Men's,15/16
67,7,Men's,15/16
34,8,Men's,15/16
42,20,Men's,15/16
1,7,Staff,15/16
10,2,Women's,15/16
9,5,Women's,15/16
9,8,Women's,15/16
16,20,Women's,15/16
14,2,Just For Fun,14/15
4,3,Just For Fun,14/15
9,5,Just For Fun,14/15
29,7,Just For Fun,14/15
23,20,Just For Fun,14/15
48,2,CoRec,14/15
48,3,CoRec,14/15
45,5,CoRec,14/15
58,6,CoRec,14/15
137,7,CoRec,14/15
32,8,CoRec,14/15
106,2,Men's,14/15
73,3,Men's,14/15
48,4,Men's,14/15
70,5,Men's,14/15
35,7,Men's,14/15
36,8,Men's,14/15
58,20,Men's,14/15
8,2,Women's,14/15
4,3,Women's,14/15
15,5,Women's,14/15
13,7,Women's,14/15
6,2,Just For Fun,13/14
4,3,Just For Fun,13/14
9,5,Just For Fun,13/14
24,7,Just For Fun,13/14
14,20,Just For Fun,13/14
38,2,CoRec,13/14
52,3,CoRec,13/14
43,5,CoRec,13/14
134,7,CoRec,13/14
20,8,CoRec,13/14
9,20,CoRec,13/14
117,2,Men's,13/14
59,3,Men's,13/14
48,4,Men's,13/14
72,5,Men's,13/14
60,6,CoRec,13/14
42,7,Men's,13/14
49,8,Men's,13/14
64,20,Men's,13/14
8,2,Women's,13/14
18,5,Women's,13/14
14,7,Women's,13/14
6,8,Women's,13/14
8,2,Just For Fun,12/13
3,3,Just For Fun,12/13
1,4,Just For Fun,12/13
7,5,Just For Fun,12/13
21,7,Just For Fun,12/13
14,20,Just For Fun,12/13
48,2,CoRec,12/13
47,3,CoRec,12/13
34,5,CoRec,12/13
56,6,CoRec,12/13
114,7,CoRec,12/13
16,8,CoRec,12/13
105,2,Men's,12/13
65,3,Men's,12/13
51,4,Men's,12/13
60,5,Men's,12/13
41,7,Men's,12/13
47,8,Men's,12/13
40,20,Men's,12/13
12,2,Women's,12/13
6,3,Women's,12/13
19,5,Women's,12/13
28,7,Women's,12/13
8,8,Women's,12/13
10,20,Women's,12/13
